,contexte_gauche,mention,contexte_droit,procédé_de_nommage,cible_mention,polarité_mention,positionnement_mention,cible_contexte,polarité_contexte,temporalité,positionnement_contexte,,FALSE
844,"Depuis 1958, l'Etat a fait de la Défense      le premier quartier d'affaires d'Europe continentale en réunissant 500 entreprises et 180.000 salariés sur 3,5 millions de mètres carrés de bureaux.Il représente 10 % du PIB de l'Ile-de-France et est devenu, avec le 8e arrondissement de la capitale,",le pôle majeur de l'attractivité de la France à l'international,.		,,,,,,,,,,
846,,La Défense, Par David Livois		,norme,NA,NA,NA,,,,,,
848,"Ils n'étaient qu'une poignée, une cinquantaine tout au plus.A eux seuls pourtant, et sans le vouloir, les militants écologistes d'Extinction Rébellion ont vidé la tour EDF,dans",le quartier d'affaires de la défense,.,,,,,,,,,,
851,"Au regard du faible nombre de militants et du caractère non-violent de leur action, la précaution peut sembler démesurée.Car c'est à quelques centaines de mètres de la tour EDF que les activistes d'Extinction Rébellion avaient décidé de crier leur hostilité à la construction de barrages hydroélectriques géants à l'occasion du congrès mondial de l'énergie hydraulique organisé",à La Défense,.		,norme,NA,NA,NA,,,,,,
852,"En même temps, ce n'est pas très surprenant, ils ont sûrement eu peur que ça se passe comme le 19 avril dernier...»		Répondant à l'appel de Greenpeace, 800 militants écolos (dont ceux d'extinction Rébellion) et même 2 000 selon les organisateurs, avaient investi ",le quartier d'affaires,.,,,,,,,,,,
856,,La Défense," Par David Livois		Depuis le parvis, de rares touristes ont cru apercevoir Alain Robert, connu pour escalader à main nue les plus hauts buildings de la planète et notamment ceux de La Défense.",norme,NA,NA,NA,,,,,,
858,"La Défense Par David Livois		Depuis le parvis, de rares touristes ont cru apercevoir Alain Robert, connu pour escalader à main nue les plus hauts buildings de la planète et notamment ceux ",de La Défense,.,norme,NA,NA,NA,,,,,,
861,"»		Ces techniques, les hommes du Grimp les travaillent chaque mois lors d'exercices grandeur nature, parfois organisés dans des endroits insolites comme Notre-Dame-de-Paris, l'église Saint-Eustache ou le port de Gennevilliers.		En revanche, leur dernière venue ",dans le quartier d'affaires de la défense,n'avait rien d'un simple entraînement.,,,,,,,,,,
863,"L'ange funambule du Téléthon  Pour l'opération caritative, Nathan Paulin a réalisé un nouvel exploit, entre deux tours",de La Défense,.,norme,NA,NA,NA,,,,,,
864,"Le ciel scintille d'un bleu presque trop parfait et Nathan Paulin, 25 ans, se prépare.Détendu mais ultraconcentré, le funambule s'apprête à traverser sur un fil tendu les 510 m qui séparent les deux tours",de la défense,",le quartier d'affaires de la capitale.",norme,NA,NA,NA,,,,,,
865,"Le ciel scintille d'un bleu presque trop parfait et Nathan Paulin, 25 ans, se prépare.Détendu mais ultraconcentré, le funambule s'apprête à traverser sur un fil tendu les 510 m qui séparent les deux tours de la défense,",le quartier d'affaires de la capitale,.,,,,,,,,,,
866,"-forme de télédéclaration pour les logeurs.		Car la commune, qui accueille sur son territoire une partie ",du quartier d'affaires de la défense,", est elle aussi confrontée au boum des locations meublées.",,,,,,,,,,
867,"-forme Airbnb.Sans surprise, ils sont concentrés",sur le quartier de La Défense,et les voisins(le Faubourg de l'Arche et Gambetta).,,,,,,,,,,
870,La Défense		Par Jeanne CassardLorsque vous marchez sur le parvis ,de La Défense,", vous n'imaginez pas forcément qu'en dessous, plus de 20 000 m 2 de surface sont inexploités.",norme,NA,NA,NA,,,,,,
871,"La Défense		Par Jeanne CassardLorsque vous marchez sur le parvis de La Défense, vous n'imaginez pas forcément qu'en dessous, plus de 20 000 m 2 de surface sont inexploités.Pour valoriser ces volumes et ne plus simplement faire pousser ",le quartier,"vers le ciel, Paris",,,,,,,,,,
872,"Pour valoriser ces volumes et ne plus simplement faire pousser le quartier vers le ciel, Paris",La Défense,vient de désigner cinq groupements d'architectes afin qu'ils imaginent de nouveaux usages.,norme,NA,NA,NA,,,,,,
874,"Leur terrain de jeu s'étend sous  la dalle , entre les « Personnages fantastiques » de Miro et la fontaine AGAM.		Entre les axes routiers, les transports en commun ou les parkings,",La Défense,s'élève en fait sur un véritable « mille-feuille ».,norme,NA,NA,NA,,,,,,
875,"Entre les axes routiers, les transports en commun ou les parkings,La Défense s'élève en fait sur un véritable « mille-feuille ».L'aménageur et gestionnaire",du quartier,rappelle qu'historiquement «  la dalle  a été conçue pour séparer les fonctions à destination des usagers du quartier de celles à vocation techniques ou logistiques ».,,,,,,,,,,
877,"Entre les axes routiers, les transports en commun ou les parkings,La Défense s'élève en fait sur un véritable « mille-feuille ».L'aménageur et gestionnaire du quartier rappelle qu'historiquement «  la dalle  a été conçue pour séparer les fonctions à destination des usagers",du quartier,de celles à vocation techniques ou logistiques ».,,,,,,,,,,
881,"Avec des hauteurs pouvant atteindre jusqu'à 15 m sous plafond, on y trouve aussi la Cathédrale, un espace construit dans les années 1970 en prévision de l'arrivée du métro ligne 1.Mais, lorsqu'en 1992, la RATP relie",La Défense,"avec la ligne 1, elle décide finalement de faire le passage du pont de Neuilly en aérien plutôt qu'en souterrain.",norme,NA,NA,NA,quotidien,neutre,passé,pris en charge,,
882,"ou encore espagnols - à trouver des usages à ces espaces.Et tout est possible car, comme le souligne Paris",la défense,",le quartier d'affaires« n'est plus seulement un endroit où les gens travaillent, c'est désormais un lieu de convivialité ».",norme,NA,NA,NA,quotidien,positif,présent,cité,,
883,"ou encore espagnols - à trouver des usages à ces espaces.Et tout est possible car, comme le souligne Paris la défense,",le quartier d'affaires,"« n'est plus seulement un endroit où les gens travaillent, c'est désormais un lieu de convivialité ».",type lieu,économie,neutre,pris en charge,quotidien,positif,présent,cité,15 mn,
884,"Le choix du lauréat sera annoncé pendant le premier trimestre de l'année 2020.                Une boîte de nuit, des terrains de foot ou une ferme urbaine En attendant l'annonce du projet retenu, les usagers de ",La Défense,rivalisent d'idées pour aménager l'espace.,norme,NA,NA,NA,quotidien,positif,futur,pris en charge,,
886,"Ici, il n'y a pas vraiment d'espace pour étudier tranquillement avec des prises pour les ordinateurs », constate cette habitante de Courbevoie.Antoine, résidant à Colombes qui se rend régulièrement",à La Défense,", souhaiterait qu'une ferme y soit créée.",norme,NA,NA,NA,quotidien,neutre,présent,cité,,
891,,La Défense,                Par Florence Hubin,norme,NA,NA,NA,NA,NA,NA,NA,,
894,"« Les travaux ont débuté en août 2018 avec Vinci Construction France et avancent sereinement, s'est réjoui Patrick Albrand, président de Hines France, qui développe ce projet avec AG Real Estate France.Nous sommes impatients de voir la tour Hekla s'ériger dans",le skyline de Paris La Défense,à l'horizon 2022.,métaphore,architecture,positif,pris en charge,urbanisme,neutre,futur,cité,,
897,"La tour de l'Atelier Jean Nouvel est la pierre angulaire du réaménagement du secteur de la Rose-de-Cherbourg, situé derrière le centre commercial Les Quatre-Temps, à l'entrée de la ville.L'aménageur",du quartier d'affaires,", Paris la défense, va transformer un anneau routier en promenade plantée, à l'image de la « high line » new-yorkaise, une promenade de 2,3 km de long utilisant d'anciennes voies ferrées aériennes de NYC.",type lieu,économie,neutre,pris en charge,urbanisme,neutre,futur,pris en charge,,
898,"La tour de l'Atelier Jean Nouvel est la pierre angulaire du réaménagement du secteur de la Rose-de-Cherbourg, situé derrière le centre commercial Les Quatre-Temps, à l'entrée de la ville.L'aménageur du quartier d'affaires, Paris",la défense,", va transformer un anneau routier en promenade plantée, à l'image de la « high line » new-yorkaise, une promenade de 2,3 km de long utilisant d'anciennes voies ferrées aériennes de NYC.",norme,NA,NA,NA,urbanisme,neutre,futur,pris en charge,,
899,"A Neuilly, les zones test devraient bientôt arriver et tous les feux en seront dotés « d'ici deux ans », promet Jean-Christophe Fromantin.                Bientôt une piste pour rejoindre ",La Défense,"Enfin, la jonction au quartier d'affaires de la défense est aussi à l'étude.",norme,NA,NA,NA,NA,NA,NA,NA,,
900,"A Neuilly, les zones test devraient bientôt arriver et tous les feux en seront dotés « d'ici deux ans », promet Jean-Christophe Fromantin.                Bientôt une piste pour rejoindre La Défense Enfin, la jonction ",au quartier d'affaires de la défense,est aussi à l'étude.,type lieu,économie,neutre,pris en charge,NA,NA,NA,NA,,
901,"Contactés, les opérateurs Bird et Bolt n'ont pas donné suite.                Dans le département, ",seul le quartier d'affaires de la défense,a autorisé l'installation de deux opérateurs de trottinettes électriques sur son sol.,type lieu,économie,neutre,pris en charge,quotidien,neutre,présent,pris en charge,,
902,"     Nanterre                Par David Livois                Comme la nature, le parc Eiffel-",La Défense,-Nanterre,norme,NA,NA,NA,NA,NA,NA,NA,,
903,"Un parc qui accueille désormais plus de 90 entreprises, de la start-up à la multinationale en passant par la PME.                Parmi ces entreprises, beaucoup ont été séduites par la situation géographique et les différentes dessertes de ce parc d'activités implanté, d'une part, aux portes ",du quartier d'affaires de la défense,", et d'autre part, à proximité de l'A 86, du RER A et du tramway T2.",type lieu,économie,neutre,pris en charge,NA,NA,NA,NA,,
904,"Le concept s'inspire de votre travaildans le quartier d'Otemachi, à Tokyo...Dans ce grand quartier d'affaires comparable à",la Défense,", j'ai été chargé en 2009 de concevoir une petite forêt de 3 600 mètres carrés, sur un site d'un hectare au pied d'une tour qui allait être reconstruite, sur un sol entièrement artificiel : on est sur une dalle, sur le toit d'une gare et d'un ensemble de bâtiments enterrés.",norme,NA,NA,NA,NA,NA,NA,NA,,
905,Patrick Devedjian :« Paris,La Défense,va s'atteler à ses deux chantiers sinistrés »,norme,NA,NA,NA,urbanisme,positif,futur,cité,,
906,L'avenir,"de la Défense, premier quartier d'affaires d'Europe",", est de nouveau confié à un établissement unique.",référence géographique/classement/type lieu,localisation/économie,positif,pris en charge,administration,neutre,présent,pris en charge,,
907,"L'Epad, puis l'Epadesa étaient dirigés par un directeur général tout-puissant, nommé par l'Etat.Or, on se plaignait de voir",la Défense,"comme un espace mort le soir et les week-ends, avec des espaces publics ni animés ni entretenus.",norme,NA,NA,NA,quotidien,négatif,passé,attribué,,
908,"C'est comme cela qu'est né, après bien des péripéties, Paris",La Défense,", établissement public local financé par les collectivités locales qui l'ont accepté, soit, aujourd'hui, le Conseil départemental des Hauts-de-Seine, les villes de Courbevoie et Puteaux, la métropole du Grand Paris et la région Ile-de-France.",norme,NA,NA,NA,administration,neutre,passé,pris en charge,30 mn,
909,Quelles sont les recettes de Paris,La Défense,?,norme,NA,NA,NA,NA,NA,NA,NA,,
910,"Il y a un chemin et une rentabilité certaine, sur le modèle de ce qu'il y a à Hong Kong ou à Montréal.                Des investisseurs nous ont proposé de tout acheter, mais cela ne nous intéresse pas, car ils n'auraient pas la préoccupation de l'espace public et nous n'aurions pas de recette pérenne pour faire vivre et animer ",le quartier d'affaires,.,type lieu,économie,neutre,pris en charge,quotidien,neutre,présent,cité,,
911,"D'un point de vue stratégique, je suis plutôt partisan que Paris",La Défense,construise ses propres bâtiments et les loue.,norme,NA,NA,NA,urbanisme,neutre,futur,cité,,
912,"On ne peut pas vivre que de droits à construire, ils s'épuisent.                Disposez-vous aujourd'hui de moyens à la hauteur des enjeux que porte ",la Défense,?,norme,NA,NA,NA,urbanisme,neutre,présent,cité,,
915,"Mais l'agrément est une chose, l'autorisation de construire en est une autre, et Paris",La Défense,est loin d'avoir trouvé un accord sur les conditions de cession des droits à construire.,norme,NA,NA,NA,administration,négatif,présent,pris en charge,,
916,La Défense est loin d'avoir trouvé un accord sur les conditions de cession des droits à construire.L'époque où Unibail faisait ce qu'il voulait,dans le quartier d'affaires,est révolue.,type lieu,économie,neutre,pris en charge,administration,négatif,passé,pris en charge,,
918,"Nous avons aussi créé un système de sécurité extrêmement performant, unique en France, qui intéresse beaucoup les entreprises.Nous rénovons complètement le boulevard circulaire",de la Défense,et mettons les tunnels aux normes.,norme,NA,NA,NA,urbanisme,positif,futur,cité,,
919,,La Défense,Plus de 69 000 voyageurs sont déjà montés à bord durant les deux premières phases.,norme,NA,NA,NA,quotidien,neutre,passé,pris en charge,,
921,"La Défense Plus de 69 000 voyageurs sont déjà montés à bord durant les deux premières phases.Expérimentée depuis 2017, la navette autonome 100 % électrique revient sur le parvis",du quartier d'affaires de la défense,pour une troisième et dernière phase de test.,type lieu,économie,neutre,pris en charge,quotidien,neutre,présent,pris en charge,,
925,"La Défense sur la voie de l'Horlogerie lundi, mardi et mercredi de 21 heures à 5 heures du matin.Ces travaux interviennent dans le cadre de la finalisation de la rénovation des Terrasses Boieldieu, l'un des plus vieux secteurs",du quartier d'affaires de la défense,.,type lieu,économie,neutre,pris en charge,urbanisme,neutre,présent,pris en charge,,
928,,La Défense,"                Par Florence HubinPour sa 7 e  édition, l'opération estivale du quartier d'affaires de la défense, rebaptisée Garden Parvis, occupe « davantage d'espace, offre deux fois plus de places assises (600), dure une semaine de plus et se prolonge plus tard le soir, pour répondre aux attentes exprimées par les usagers de l'été dernier », annonce Noëllie Faustino, directrice du pôle événementiel à Paris",norme,NA,NA,NA,NA,NA,NA,NA,,
929,"La Défense                Par Florence HubinPour sa 7 e  édition, l'opération estivale ",du quartier d'affaires de la défense,", rebaptisée Garden Parvis, occupe « davantage d'espace, offre deux fois plus de places assises (600), dure une semaine de plus et se prolonge plus tard le soir, pour répondre aux attentes exprimées par les usagers de l'été dernier », annonce Noëllie Faustino, directrice du pôle événementiel à Paris",type lieu,économie,neutre,pris en charge,quotidien,positif,présent,cité,,
931,"Billard, pétanque, conférences, concerts...Tout l'été, le Garden Parvis vous occupe jusqu'au soir au pied des tours",de La Défense,.,norme,NA,NA,NA,quotidien,positif,présent,cité,,
932,"-pong, des billards, des terrains de pétanque... Et même un stand de lancer de hache !Pendant l'été,",le quartier d'affaires de la défense,se donne des airs de terrain de jeu à l'occasion du « Garden Parvis ».,type lieu,économie,neutre,pris en charge,quotidien,positif,NA,pris en charge,,
934,Juliana félicite l'initiative.« C'est vraiment bien de voir ça,à La Défense,.,norme,NA,NA,NA,quotidien,positif,présent,cité,,
935,"Aujourd'hui je prends juste un verre, mais je reviendrai avec des collègues pour tester les jeux !»                des activités pour tous Mais le Garden Parvis n'est pas réservé aux salariés ",de La Défense,.,norme,NA,NA,NA,quotidien,positif,présent,pris en charge,,
936,"Le soir, les plus fêtards peuvent aussi profiter des concerts gratuits animés par des DJ et autres artistes, à l'image de la soirée d'ouverture le 11 juillet avec le trio français Hyphen Hyphen.Une nouveauté du Garden Parvis par rapport à son prédécesseur « Été Parvis",La Défense,».,norme,NA,NA,NA,quotidien,positif,présent,pris en charge,45,
937,,la défense,"Même à L'Assomption,le quartier d'affaires de la défense continue de bouger.",norme,NA,NA,NA,NA,NA,NA,NA,,
938,"la défense Même à L'Assomption,",le quartier d'affaires de la défense,continue de bouger.,type lieu,économie,neutre,pris en charge,quotidien,positif,présent,pris en charge,,
939,"L'Assemblée a adopté une surtaxe sur les bureaux situés dans les quartiers d'affaires de Paris et des Hauts-de-Seine pour financer le Grand Paris.Le président du département des Hauts-de-Seine, Patrick Devedjian, a dénoncé  « un coup de poignard dans le dos",du quartier d'affaires de Paris,"la défense »  , à l'heure du Brexit.",type lieu/référence géographique,localisation/économie,neutre,cité,administration,négatif,présent,cité,,
940,"C'est l'idée que développe Pierre Polette, entrepreneur à succès de l'informatique arrivé il y a un an aux commandes de Talentia Software.Cette entreprise basée",dans le quartier d'affaires parisien de la Défense,devrait terminer l'année sur un chiffre d'affaires de l'ordre de 70 millions d'euros avec 400 salariés.,type lieu/référence géographique,localisation/économie,neutre,pris en charge,NA,NA,NA,NA,50,
941,"Le prolongement de la ligne 1 du tramway irriguera, en outre, la ville de dix stations, permettant de relier enfin ses quartiers entre eux.Cette ville morcelée par l'urbanisme des années 1970, vaste zone d'extension",du quartier d'affaires de la Défense,"qui va y doubler sa surface , est déjà très active, puisqu'elle compte autant d'emplois que d'habitants, et deviendra un noeud d'interconnexion de l'Ouest parisien, déplaçant à lui seul le centre de gravitéde la Défense.",type lieu,économie,neutre,pris en charge,NA,NA,NA,NA,,
944,""" Nous souhaitons conserver la vocation industrielle du lieu où se trouvait un des centres d'entretien de la SNCF, avec 2 500 cheminots , précise Céline Crestin, codirectrice de l'aménagement à l'établissement public Paris","La Défense, ",aménageur du secteur.,norme,NA,NA,NA,urbanisme,positif,présent,cité,,
945,"Cela a pris du temps, entre 2011 et aujourd'hui, mais il n'y a pas eu de difficultés.""  Ici, un programme d'écoquartier prévoit bureaux, immeubles de tout standing, dont certains habillés de verdure, et commerces, le tout raccordé au réseau de chauffage urbainde ",la Défense," qui, lui, fera de plus en plus appel à des énergies renouvelables.                ",norme,NA,NA,NA,quotidien,positif,futur,cité,,
948,Le Conseil d'Etat vient de rejeter les recours déposés par les sociétés Allianz et AXA contre le projet de tours Hermitage,dans le quartier d'affaires de la Défense,.,type lieu,économie,neutre,pris en charge,urbanisme,neutre,présent,pris en charge,,
951,Paris,La Défense," lui réclame, en plus, 30 millions d'euros correspondant à une indemnité censée compenser l'immobilisation anormalement longue des terrains jamais achetés.                ",norme,NA,NA,NA,immobilier,neutre,présent,pris en charge,,
952,"Nicolas Sarkozy avait à peine perdu davantage  (- 2 points)  à l'automne 2009 lors de l'affaire de l'Epad, cet établissement public en charge",du quartier d'affaires de la Défense,"dont la présidence devait échoir à son fils Jean, âgé de 23 ans.",type lieu,économie,neutre,pris en charge,administration,neutre,passé,pris en charge,,
954,Un test sur un animal ­devait avoir lieu au mois d'août.L'hypermarché Auchan,du quartier d'affaires de la Défense,(Hauts-de-Seine) et un supermarché d'Athis-Mons (Essonne) semblent avoir fait l'objet d'opérations de repérages.                ,type lieu,économie,neutre,pris en charge,NA,NA,NA,NA,,
955,Le RER A encore fermé cet été entre,La Défense,et Nation,norme,NA,NA,NA,NA,NA,NA,NA,,
956,"Les usagers du RER A devront de nouveau, cet été, s'adapter aux perturbations engendrées par les travaux de rénovation de la ligne.La RATP a annoncé mardi que le trafic serait totalement interrompu, pour la troisième année d'affilée,entre",le quartier d'affaires de la défense,et la station Nation.,type lieu,économie,neutre,pris en charge,NA,NA,NA,NA,,
957,"Whirlpool, Master Lock, Cargill, Cognizant... en l'espace d'un an, quatre entreprises américaines ont déballé leurs cartons",dans le quartier d'affaires de la défense,.,type lieu,économie,neutre,pris en charge,immobilier,neutre,passé,pris en charge,,
958,L'est de Paris est à la traîne.Cet engouement pour l'ouest (,La Défense,ou GPSO) s'explique par une politique territoriale très offensive et une offre immobilière adaptée : du neuf et de « gros paquebots » .,norme,NA,NA,NA,immobilier,positif,présent,pris en charge,,
960,"Démocratiser la modernité est sa seule ambition, quand il dessine à Briey-en-Forêt, en Meurthe-et-Moselle, des barres d'habitations individuelles dont il conçoit jusqu'aux meubles et éclairages.                En 1964, il formule une « proposition pour un Paris en forêt » , une barrière verte de Maisons-Laffitte à Palaiseau en passant par Versailles, proscrivant les villes satellites et centrant la capitale de demain ","sur le nouveau quartier d'affaires de la Défense, mélange d'écologie et d'explosion économique",.,type lieu/métaphore,disparité/économie/espace de vie,positif,pris en charge,NA,NA,NA,NA,,
961,"-colonel Arnaud Beltrame, 44 ans, se régalait de retrouver le terrain.Officier depuis dix-huit ans, il revenait à ses premières amours après un détour par",les hautes tours du quartier d'affaires de la défense,.,type lieu,architecture/économie,positif,pris en charge,NA,NA,NA,NA,,
962,"Un enjeu décisif.À Puteaux, ville très riche (la commune inclut une partie",du quartier d'affaires de la Défense,),type lieu,économie,neutre,pris en charge,NA,NA,NA,NA,,
963,"UMP : la ségrégation genrée appliquée dans un jardin pour enfants.À Puteaux (Hauts-de-Seine), ville la plus riche de France grâce aux subsides",du quartier d'affaires de la Défense,", on ne manque pas de pétrole, donc, mais on a quand même des idées.",type lieu,économie,neutre,pris en charge,NA,NA,NA,NA,,
964,Plus de 1 milliard d'euros de transactions,à la Défense,,norme,économie,NA,NA,économie,neutre,présent,pris en charge,,
965,"C'est un hasard du calendrier, mais il tombe bien : en quelques jours, près de 1 milliard d'euros ont changé de mains",à la Défense,.,norme,économie,NA,NA,économie,neutre,présent,pris en charge,,
968,»                La vente de l'immeuble Capital 8 pour 800 millions d'euros a été annoncée par Unibail.Plusieurs tours ,à la Défense,", le portefeuille d'Eurosic, en régions, détenu par Gecina, 55 magasins Monoprix par Casino... sont ou ont été sur le marché.",norme,urbanisme,NA,NA,immobilier,neutre,passé,pris en charge,,
969,"En Ile-de-France, 2,6 millions de mètres carrés ont été commercialisés en 2017, un niveau d'activité qui n'avait pas été observé depuis 2007.Le stock de bureaux vacants est tombé à 5,5 %, et même à 2,5 % dans le quartier central des affaires de Paris (QCA).A",la Défense,", la vacance a été divisée par deux.",norme,économie,NA,NA,immobilier,positif,présent,pris en charge,,
970,"Dans Paris intra-muros, deux hôtels sont en cours de réalisation, l'un à la gare de l'Est, l'autre sur le site de l'ex-hôpital Leopold-Bellan, près de la gare Montparnasse (le projet comporte également un Ibis).Deux autres sont prévus à la périphérie ouest de la capitale, à Meudon",et dans le quartier d'affaires de la Défense,.,type lieu,économie,neutre,pris en charge,immobilier,neutre,présent,pris en charge,,
971,Le projet du futur siège social de Total à,la Défense,bloqué par l'Etat,norme,NA,NA,NA,NA,NA,NA,NA,,
972,"La bombe est signée Michel Cadot, préfet d'Ile-de-France.Dans une lettre adressée le 3 janvier à la maire de Puteaux avec copie à plusieurs personnalités de la région, et dont « Les Echos » ont eu connaissance, le haut fonctionnaire écrit qu'il ne peut autoriser, à ce stade, le projet porté par Groupama Immobilier en vue de réaliser",à la Défense,", sur le territoire de cette commune, le futur siège du groupe Total.",norme,NA,NA,NA,urbanisme,neutre,futur,pris en charge,,
974,"Cette tour, qui ajouterait 135.000 mètres carrés de bureaux et locaux d'accompagnement supplémentaires par rapport à l'existant, pourrait permettre au géant pétrolier de rapatrier des effectifs de Londres dans la perspective du Brexit.Le préfet juge que le choix de Total quadruplerait les surfaces d'activité sur","ce site déjà déséquilibré, et qui ne devrait compter dans cinq ans que 27 % de logements pour 73 % de bureaux",.,type lieu,architecture/disparité,négatif,pris en charge,immobilier,neutre,futur,pris en charge,,
975,"Cette tour, qui ajouterait 135.000 mètres carrés de bureaux et locaux d'accompagnement supplémentaires par rapport à l'existant, pourrait permettre au géant pétrolier de rapatrier des effectifs de Londres dans la perspective du Brexit.Le préfet juge que le choix de Total quadruplerait les surfaces d'activité sur ce site déjà déséquilibré, et qui ne devrait compter dans cinq ans que 27 % de logements pour 73 % de bureaux.",Quartier déjà déséquilibré,,type lieu,architecture/disparité,négatif,pris en charge,NA,NA,NA,NA,,
976,"Quartier déjà déséquilibré« C'est vrai,mais c'est",le quartier d'affaires de la Défense,"et il a été conçu comme cela par le général de Gaulle, depuis 1958,  tempête le président du département des Hauts-de-Seine Patrick Devedjian.",type lieu,économie,neutre,pris en charge,urbanisme,neutre,passé,pris en charge,,
977,"« C'est vrai aussi et c'est pour cela que nous construisons le métro du Grand Paris, mais là encore ça bloque »  , poursuit l'élu.                Des études complémentaires sont certes attendues pour la fin de l'année, indique le préfet, mais à un mois du Mipim, le grand rendez-vous de l'immobilier de bureaux, le signal envoyé aux investisseurs est inquiétant, alors même que l'Etat, la région Ile-de-France, le département des Hauts-de-Seine et Europlace, l'organisation chargée de promouvoir et développer la place financière de Paris, font tout pour inciter les entreprises qui quitteraient Londres à venir en France et particulièrement à ",la Défense,.                ,norme,NA,NA,NA,NA,NA,NA,NA,,
978,Le patron des Hauts-de-Seine ne s'explique pas davantage pourquoi la préfecture de région bloque la désignation de personnalités qualifiées qui doivent siéger au conseil d'administration de Paris,La Défense,.,norme,NA,NA,NA,administration,neutre,présent,pris en charge,,
979,"La Défense.Ce nouvel établissement public, créé le 1er janvier dernier, est censé dynamiser la gestion",du quartier d'affaires,.		,type lieu,économie,neutre,pris en charge,administration,positif,présent,attribué,,
980,"Ensuite, l'activité économique serait fortement perturbée, ce qui aurait des répercussions nationales.Pour le dire autrement, nul besoin d'avoir les pieds dans l'eau pour être concerné.",Le quartier d'affaires de la Défense,", le marché d'intérêt national de Rungis, les grands aéroports, pour ne citer qu'eux, seront hors d'eau mais leur fonctionnement risque d'être considérablement perturbé, ne serait-ce que parce que les personnes qui y travaillent au quotidien seront bloquées chez elles ou évacuées.",type lieu,économie,neutre,pris en charge,NA,NA,NA,NA,,
981,Fintech   L'incubateur fintech de,la Défense,accueille ses premières start-up,norme,NA,NA,NA,économie,neutre,présent,pris en charge,,
982,Le renouveau et l'attractivité de la place financière parisienne passe désormais aussi par le Swave.Cet incubateur installé au coeur,du quartier d'affaires de la Défense,", près de Paris, lancé par Paris&Co démarre son programme d'accompagnement ce lundi avec 23 start-up bien décidées à secouer leurs secteurs d'activité.",type lieu,économie,neutre,pris en charge,économie,positif,présent,pris en charge,,
983,"En règle générale, il faut passer entre 18 et 24 mois pour profiter de l'expertise Paris&Co  », admet le responsable du Swave.D'ici là, l'incubateur",de la Défense,"devrait accueillir cinq pépites supplémentaires d'ici à juin prochain, et vise une promo de 35 entreprises d'ici à la fin de l'année.",norme,NA,NA,NA,économie,positif,futur,pris en charge,,
985,A suivre   La Tour Ariane,à la Défense,vendue au fonds souverain de Singapour,norme,NA,NA,NA,immobilier,neutre,présent,pris en charge,,
987,IMMOBILIER :  Unibail-Rodamco-Westfield a annoncé la signature lundi d'une promesse de vente portant sur la Tour Ariane à,la Défense,"avec GIC, le fonds souverain de Singapour.",norme,NA,NA,NA,immobilier,neutre,présent,pris en charge,,
989,"Le prix net vendeur est de 464,9 millions d'euros, précise la foncière.La Tour Ariane est une tour de bureaux de plus de 64.500 mètres carrés de surface utile brute locative (SUBL) située au coeur",du quartier d'affaires de la Défense,.,type lieu,économie,neutre,pris en charge,NA,NA,NA,NA,,
990,réforme ferroviaire,À la Défense,", le cri de colère des cheminots",norme,NA,NA,NA,événement,négatif,présent,pris en charge,,
991,"Des centaines de grévistes se sont rassemblés hier à Paris, devant le siège de Voyages-SNCF.Les cols blancsdu quartier d'affaires de",la Défense,ont eu de quoi prendre quelques photos.,norme,NA,NA,NA,événement,neutre,présent,pris en charge,,
993,"Ils ont échappé aux poursuites, devant une cour d'assises, pour  «association de malfaiteurs à caractère terroriste».Les juges d'instruction leur ont délivré un non-lieu sur ce point au motif qu'ils ignoraient qu'Abaaoud et Akrouh s'apprêtaient à commettre un nouvel attentat-suicide",dans le quartier d'affaires de la défense,(Hauts-de-Seine).,type lieu,économie,neutre,pris en charge,événement,négatif,passé,pris en charge,,
994,"Ils ont échappé aux poursuites, devant une cour d'assises, pour  «association de malfaiteurs à caractère terroriste».Les juges d'instruction leur ont délivré un non-lieu sur ce point au motif qu'ils ignoraient qu'Abaaoud et Akrouh s'apprêtaient à commettre un nouvel attentat-suicide",la défense,"Préparer son avenir dans un centre commercial, c'est possible !",norme,NA,NA,NA,NA,NA,NA,NA,,
997,"la défense Préparer son avenir dans un centre commercial, c'est possible !Jusqu'à demain, les Quatre-Temps, le centre commercial",du quartier d'affaires de la défense,", accueillent Ose, un événement ouvert aux 15-25 ans organisé par les associations Uni-Cité, spécialiste du service civique, et Passeport avenir.		",type lieu,économie,neutre,pris en charge,événement,neutre,présent,pris en charge,,
1001,"Tour de montagnes russes, voyage autour du monde ou encore ébouriffante descente en VTT.Jusqu'au 14 mai, le centre commercial les Quatre-Temps,",dans le quartier d'affaires de la défense,", accueille une animation sur la réalité virtuelle ouverte à tous, en partenariat avec Samsung.",type lieu,économie,neutre,pris en charge,tourisme,neutre,présent,pris en charge,,
1003,,La Défense,,norme,NA,NA,NA,NA,NA,NA,NA,,
1006,Bientôt un bus de nuit entre ,La Défense,et Saint-Denis,norme,NA,NA,NA,quotidien,neutre,futur,pris en charge,,
1007,"     Transports                Le Syndicat des transports d'Ile-de-France (Stif) améliore son réseau nocturne de bus.A l'horizon 2019-2020, une nouvelle ligne baptisée N 73 reliera ",le quartier d'affaires de la défense,à Saint-Denis (Seine-Saint-Denis).,type lieu,économie,neutre,pris en charge,quotidien,neutre,présent,pris en charge,,
