,contexte_gauche,mention,contexte_droit,procédé_de_nommage,cible_mention,polarité_mention,positionnement_mention,cible_contexte,polarité_contexte,temporalité,positionnement_contexte,,FALSE
76,"L'expulsion possible des habitants des quinze derniers appartements encore occupés aux Damiers de La Défense, si elle a lieu, ne mettra pas fin à la plus incroyable embrouille immobilière de cette décennie : celle des tours Hermitage.Deux édifices hauts comme la tour Eiffel, prévus à La Défense (Hauts-de-Seine),",quartier d'affaires en bordure de Seine,"depuis 2011, mais toujours pas financés et sans le moindre début de chantier.",type lieu/référence géographique,urbanisme/espace de vie/économie,neutre,pris en charge,urbanisme,négatif,présent,pris en charge,,
79,"L'histoire démarre d'une façon pour le moins surprenante.En 2011, un promoteur russe, Emin Iskenderov, président et fondateur de Hermitage, achète les Damiers, un ensemble de 250 logements sociaux situé à",La Défense,", à un bailleur social français, Logis Transports (la filiale HLM de la RATP).",norme,NA,NA,NA,immobilier,négatif,passé,pris en charge,,
81,"Il annonce régulièrement un tour de table bouclé sous peu, sans qu'on sache jamais qui participera ni quand.De plus, il n'a pas réussi à régler à l'établissement public de",La Défense,le premier euro de l'achat des espaces publics dont il a besoin pour ancrer ses tours.,norme,NA,NA,NA,immobilier,négatif,passé,pris en charge,,
82,"Ratage.Aujourd'hui, la situation est tout simplement hallucinante : l'Epadesa, établissement public de",La Défense,", et sa tutelle l'Etat ont soutenu une opération immobilière mégalomane, portée par un investisseur inconnu et peut-être insolvable, toujours pas financée, qui a abouti à faire sortir de chez eux 235 locataires par un bailleur social embarqué dans une forme inédite de création de logements vacants.                ",norme,NA,NA,NA,urbanisme,négatif,présent,pris en charge,,
83,"L'avocate porte le dossier plus haut et demande à Gérard Collomb, ministre de l'Intérieur, de faire surseoir aux expulsions.                Pour ",le quartier d'affaires de La Défense,", qui vend son attractivité de place économique mondiale, ce ratage n'est pas terrible en termes d'image.",type lieu,économie,neutre,pris en charge,économie,négatif,présent,pris en charge,,
90,"« L'Arena va temporairement héberger jusqu'à 35 sans-abri, indique l'établissement public ParisLa Défense, gestionnaire du",quartier d'affaires,.,type lieu,économie,neutre,pris en charge,quotidien,neutre,futur,cité,,
94,"Alors que son projet fait l'objet d'une enquête publique jusqu'au 3 février, l'association Pas d'autoroute à Neuilly (PAN) propose un scénario alternatif : l'enfouissement au moins partiel de cette 2 x 4 voies empruntée chaque jour par près de 160 000 véhicules.                Car, sur le papier, le projet baptisé Axe majeur, dont le coût est estimé à plus de 60 M€, ne prévoit pas de réduire le nombre de voie de circulation sur cette avenue qui relie la Porte Maillot ",au quartier d'affaires de La Défense,.,type lieu,économie,neutre,pris en charge,NA,NA,NA,NA,,
95,"Cette solution, dans le sens Paris-",La Défense,", permettrait pourtant de limiter les coûts et de ne pas toucher à la voûte du métro...",norme,NA,NA,NA,NA,NA,NA,NA,,
99,Un tonique gratte-ciel cristallin trois en un.Un jeu de cubes et de lumière empilant 38 étages qui s'élèvent jusqu'à 170 mètres de hauteur pour accueillir 1 700 salariés à la couture urbaine de Courbevoie et,du quartier d'affaires de la Défense,.,type lieu,économie,neutre,pris en charge,urbanisme,positif,présent,pris en charge,,
105,,Quartier d'affaires,:  la Défense en quête d'un second souffle,type lieu,économie,neutre,pris en charge,économie,négatif,présent,pris en charge,,
106,Quartier d'affaires :,la Défense,en quête d'un second souffle,norme,NA,NA,NA,économie,négatif,présent,pris en charge,,
107,		A l'heure où ,la Défense,"se peuple de tours toujours plus hautes, plus « vertes » et plus chères, Groupama Immobilier cultive sa différence.",norme,NA,NA,NA,urbanisme,neutre,présent,pris en charge,,
109,Le groupe lancera jeudi la commercialisation d'un immeuble d'à peine 7 étages (45.000 mètres carrés) baptisé « Window » .Une horizontalité « assumée » comme l'antithèse,des tours de bureaux froides et impersonnelles,du premier quartier d'affaires d'Europe.,référence géographique,architecture/espace de vie,négatif,pris en charge,urbanisme,positif,présent,attribué,,
110,Le groupe lancera jeudi la commercialisation d'un immeuble d'à peine 7 étages (45.000 mètres carrés) baptisé « Window » .Une horizontalité « assumée » comme l'antithèse des tours de bureaux froides et impersonnelles,du premier quartier d'affaires d'Europe,.,classement/type lieu,économie,positif,pris en charge,urbanisme,positif,présent,attribué,,
